t
0.309408
0.308448
0.308032
0.310496
0.314752
0.315520
0.310816
0.313920
0.315680
0.313920
0.313216
0.314272
0.314080
0.310080
0.309664
0.308640
0.308672
0.313024
0.308704
0.313728
0.310144
0.310016
0.308064
0.317664
0.313856
0.314752
0.314208
0.315552
0.313120
0.315616
0.312064
0.313824
0.315552
0.313152
0.309856
0.312448
0.311040
0.313216
0.317280
0.315008
0.314240
0.310592
0.310304
0.313152
0.316864
0.313408
0.316480
0.314560
0.311392
0.311360
0.314912
0.308832
0.315712
0.311648
0.314368
0.316416
0.309728
0.313024
0.309760
0.315680
0.318368
0.308544
0.308832
0.309056
0.311104
0.313984
0.308224
0.308384
0.309696
0.307904
0.310304
0.315104
0.309632
0.309280
0.315008
0.317248
0.313344
0.315040
0.316736
0.311232
0.309888
0.308544
0.309728
0.314176
0.316032
0.309632
0.315200
0.315712
0.309056
0.312768
0.314432
0.313536
0.314368
0.307904
0.315040
0.312992
0.316032
0.309088
0.308416
0.310208
0.312128
0.308320
0.311136
0.316352
0.316672
0.312096
0.309792
0.316224
0.315776
0.314624
0.317760
0.308416
0.310912
0.312960
0.308768
0.319072
0.313408
0.310496
0.310176
0.309408
0.313312
0.308448
0.315776
0.313440
0.309024
0.319584
0.308000
0.315648
0.316608
0.317024
0.310208
0.311200
0.313344
0.314784
0.323488
0.315488
0.308352
0.310528
0.313952
0.314400
0.310144
0.315840
0.311104
0.314624
0.317856
0.309824
0.314144
0.316384
0.309376
0.315008
0.309280
0.310112
0.315840
0.309568
0.312608
0.313280
0.309184
0.312288
0.312160
0.317728
0.315936
0.313760
0.308448
0.315936
0.314560
0.312672
0.313984
0.309376
0.316832
0.314208
0.321504
0.313664
0.315424
0.314144
0.315136
0.313440
0.309056
0.313312
0.308416
0.309888
0.315552
0.313472
0.308576
0.314848
0.313728
0.311104
0.309216
0.316864
0.315744
0.314944
0.315936
0.312992
0.313632
0.315808
0.316128
0.313920
0.316640
0.310560
0.325696
0.314720
0.317792
0.313728
0.314304
0.316192
0.315808
0.308096
0.308544
0.311392
0.312928
0.311008
0.308800
0.312896
0.315520
0.316064
0.307904
0.307808
0.310880
0.308736
0.307904
0.309024
0.317056
0.314016
0.308736
0.314080
0.311200
0.307936
0.314112
0.308832
0.316352
0.316640
0.308064
0.315488
0.308608
0.308288
0.307968
0.313920
0.315584
0.310176
0.314624
0.311360
0.307680
0.312064
0.313728
0.310336
0.319904
0.309280
0.316160
0.315136
0.310240
0.314720
0.309760
0.316064
0.314336
0.316960
0.314048
0.313184
0.315168
0.312320
0.309536
0.308064
0.316512
0.316224
0.309280
0.314560
0.315104
0.314752
0.310592
0.314688
0.316160
0.308672
0.308800
0.316768
0.324064
0.308160
0.309184
0.315616
0.308704
0.311296
0.314208
0.308672
0.315712
